,time_elapsed,epoch,fold,flank,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,22192.8965883255,93,0,0,0.6499255238674185,0.6997289087249876,0.5207512551194764,0.6286090001569433,0.6660090790153728,0.47472611792466224
0,34379.666447877884,138,1,0,0.6065319328971447,0.6989315260002438,0.5168866390850313,0.5918729378046045,0.6677073049458042,0.4751998292899637
0,17193.768022298813,59,2,0,0.6493887361031095,0.7009590673060062,0.5175316886462169,0.6252428205908352,0.6666847712357071,0.47628313010968915
0,15036.099999666214,59,3,0,0.6393829198654299,0.7021005928171986,0.5222911670099286,0.6229997148646235,0.6729276471501379,0.48374276983635967
0,18025.89756512642,66,4,0,0.651039428472232,0.7025021538190317,0.5195894700619862,0.6281122128510456,0.6692616389941943,0.47954246741929135
0,14756.693595170975,61,0,1,0.6291317262286581,0.6814056540469936,0.501633237244254,0.6089996591418395,0.6537655964970581,0.4669292927810499
0,14435.433577537537,59,1,1,0.6360167559862587,0.6832657955996828,0.5043466712239721,0.6111393974324735,0.6446801216292526,0.4593605920023699
0,13837.017043113708,57,2,1,0.6127863556271854,0.6848886416502415,0.5052929689028496,0.5901107194631015,0.6501185649004546,0.4652526045828834
0,16872.639108896255,69,3,1,0.634318169618758,0.6809828448917179,0.5008567736600406,0.612753142301895,0.6490736279905702,0.4631603206907039
0,14564.669819831848,60,4,1,0.641277788945392,0.6830150279099227,0.5031440788805523,0.6192951775712013,0.6495674085361737,0.4631167824075477
0,25098.753182649612,103,0,2,0.6193269860762991,0.6731897435022792,0.4956520979683797,0.5991608343166132,0.6402656959976769,0.4537017317326544
0,15393.427340269089,64,1,2,0.6225248349030238,0.6730221775104128,0.4969047816079635,0.5976903710554393,0.6354297828195314,0.45048862842091725
0,14089.58016872406,59,2,2,0.6338234621870225,0.6694627368433641,0.49147401476094127,0.6139159454924302,0.6384148906724538,0.4593951990371409
0,15536.790804624557,64,3,2,0.6222598326619033,0.671126544678682,0.4932367662725461,0.5998273729256173,0.6345646654827963,0.45137718924691306
0,14052.676018953323,58,4,2,0.627716045158825,0.6709692983578796,0.4930471369357819,0.6046281861224139,0.6370138498382709,0.4528039258566545
0,14076.033113718033,61,0,3,0.6135953664089242,0.660332446636937,0.4838373073489541,0.587731867926061,0.6233677144588695,0.440144075424886
0,18128.90650177002,70,1,3,0.6138267322311304,0.6595231138974578,0.48142894898735694,0.5921430311965016,0.6231922083528509,0.43975158236074435
0,15228.991013765335,57,2,3,0.5869756739142239,0.6596035987039435,0.481074160932354,0.5663458307040782,0.6283565201660886,0.44837836359936606
0,14646.745443582535,64,3,3,0.604527036813563,0.6566740528231703,0.4785886246478466,0.5832202556432572,0.622571238603981,0.4408909682444295
0,13457.744677305222,60,4,3,0.6296815246990072,0.6577706380490134,0.4811813267044326,0.6137428866259645,0.6293929824461411,0.4480825080230732
0,14927.957300424576,61,0,4,0.6062268524682083,0.6472253997219564,0.47029547778127334,0.5880716668182058,0.6201191405770824,0.436990551219911
0,16390.159519433975,68,1,4,0.6139559346244707,0.6517748656184231,0.4739587829165194,0.5931830018676514,0.6164707438910686,0.43626850740047096
0,15418.743467569351,57,2,4,0.5808459182818911,0.6473466836154926,0.4688617105969532,0.562145837620559,0.6168859127902488,0.4378193656633472
0,12710.314143180847,56,3,4,0.616672228846281,0.6445325246130946,0.4661738669764972,0.5991521916784819,0.618256780970237,0.43972106174736986
0,15892.848005533218,64,4,4,0.6014842518251847,0.6441626084059857,0.46766161763667025,0.5841524931559494,0.6165617542516598,0.43614372604300466
0,14640.501208782196,61,0,5,0.6062025625739249,0.6444690689222277,0.46798616597930887,0.589054927065579,0.6171279706205193,0.43316935228933984
0,16321.134048461914,59,1,5,0.6056801138726987,0.6433855489519069,0.46510600364190346,0.5876968054483669,0.6158918221107685,0.43570564398966666
0,13288.591443538666,56,2,5,0.6000821566181587,0.6435259205959001,0.46633990632437666,0.5783425763434841,0.6123650762069683,0.4303338318416638
0,13958.56637763977,58,3,5,0.6226492953473493,0.6372438058959943,0.4581636031549114,0.6021998678084993,0.6070744804571033,0.4253842561905119
0,15304.202771902084,60,4,5,0.6175278992085346,0.6442795396445447,0.46557554328009687,0.6011774165511865,0.618869745803579,0.437739792769179
